type_habits,prix,adresse,image_lien,categorie
Lacoste coton,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344842_uploaded_image1_1748193885.jpg,Vêtements Homme
Lacoste homme,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344841_uploaded_image1_1748193824.jpg,Vêtements Homme
Vetement enfants,Prix sur demande,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344831_uploaded_image1_1748193541.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344833_uploaded_image1_1748193584.jpg,Vêtements Homme
T-shirt coton,6 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5348292_uploaded_image1_1748367024.jpg,Vêtements Homme
Ensemble homme,16 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5348285_uploaded_image1_1748366695.jpg,Vêtements Homme
Ensemble homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5348287_uploaded_image1_1748366732.jpg,Vêtements Homme
Getzner Super anium gold original,12 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326094_uploaded_image1_1747153147.jpg,Vêtements Homme
T-shirt coton,6 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326080_uploaded_image1_1747152559.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326083_uploaded_image1_1747152731.jpg,Vêtements Homme
Polo Lacoste,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5326067_uploaded_image1_1747152167.jpg,Vêtements Homme
Cargo,7 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335721_uploaded_image1_1747671590.jpg,Vêtements Homme
Chemise coton,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335724_uploaded_image1_1747671672.jpg,Vêtements Homme
Ensemble homme,13 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335705_uploaded_image1_1747671181.jpg,Vêtements Homme
Polo Lacoste,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335709_uploaded_image1_1747671238.jpg,Vêtements Homme
T-shirt coton,5 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5358869_uploaded_image1_1748970821.jpg,Vêtements Homme
Sous vêtements,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5358863_uploaded_image1_1748970741.jpg,Vêtements Homme
Bassin riche,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334146_uploaded_image1_1747583668.jpg,Vêtements Homme
Tableau  Art,10 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5321522_uploaded_image1_1746889876.jpg,Vêtements Homme
Bassin riche,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334143_uploaded_image1_1747583609.jpg,Vêtements Homme
Bassin riche,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334137_uploaded_image1_1747583506.jpg,Vêtements Homme
Bassin riche,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334139_uploaded_image1_1747583571.jpg,Vêtements Homme
Ensemble homme,9 500,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364994_uploaded_image1_1749376854.jpg,Vêtements Homme
Vêtement  homme,5 000,"location_onGrand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5364974_uploaded_image1_1749376464.jpg,Vêtements Homme
Lacoste homme,6 500,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320644_uploaded_image1_1746830346.jpg,Vêtements Homme
T-shirt coton,5 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320652_uploaded_image1_1746830643.jpg,Vêtements Homme
Kaki,7 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5320629_uploaded_image1_1746829743.jpg,Vêtements Homme
