type_chaussures,prix,adresse,image_lien,categorie
Chaussures homme,23 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399778_uploaded_image1_1751350515.jpg,Chaussures Homme
Chaussures hommes,22 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5399770_uploaded_image1_1751349884.jpg,Chaussures Homme
Chaussures Tommy,22 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5399767_uploaded_image1_1751349787.jpg,Chaussures Homme
Timberlands homme,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5399763_uploaded_image1_1751349629.jpg,Chaussures Homme
Sandales orthopédique,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5399752_uploaded_image1_1751349132.jpg,Chaussures Homme
Chaussures hommes,23 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5399749_uploaded_image1_1751348901.jpg,Chaussures Homme
Chaussures New Balance,30 000,"location_onOuest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399692_uploaded_image1_1751338580.jpg,Chaussures Homme
New Balance Fuel cell,28 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5381433_uploaded_image1_1750290780.jpg,Chaussures Homme
New Balance Fuel cell,28 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5381432_uploaded_image1_1750290707.jpg,Chaussures Homme
Sandales Toga,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5381435_uploaded_image1_1750290863.jpg,Chaussures Homme
Baskets Asic Cayono,27 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5371936_uploaded_image1_1749765298.jpg,Chaussures Homme
Sandales,17 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359154_uploaded_image1_1748983277.jpg,Chaussures Homme
Chaussures  Nike portal,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359143_uploaded_image1_1748982874.jpg,Chaussures Homme
Chaussures Berluti,20 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359038_uploaded_image1_1748978250.jpg,Chaussures Homme
Baskets New Balance,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5359006_uploaded_image1_1748976951.jpg,Chaussures Homme
Baskets Nike TN,18 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380946_uploaded_image1_1750267531.jpg,Chaussures Homme
Chaussures homme,20 000,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399058_uploaded_image1_1751302512.jpg,Chaussures Homme
Baskets Air Jordan 6,25 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5366456_uploaded_image1_1749474268.jpg,Chaussures Homme
Chaussures homme,6 500,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361744_uploaded_image1_1749121958.jpg,Chaussures Homme
Mocassins hommes,4 000,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5361721_uploaded_image1_1749121349.jpg,Chaussures Homme
Babouches homme,10 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg,Chaussures Homme
Chaussures homme,7 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5355170_uploaded_image1_1748804676.jpg,Chaussures Homme
Chaussures homme,6 000,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395482_uploaded_image2_1751059185.jpeg,Chaussures Homme
Mocassins homme,5 500,"location_onYoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395412_uploaded_image1_1751054127.jpg,Chaussures Homme
Sandales Hermès,20 000,"location_onSicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393539_uploaded_image1_1750952929.jpg,Chaussures Homme
Chaussures homme,35 000,"location_onOuakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391753_uploaded_image1_1750857199.jpg,Chaussures Homme
Chaussures homme,40 000,"location_onColobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391598_uploaded_image1_1750852699.jpg,Chaussures Homme
Chaussures homme,7 000,"location_onKeur Massar, Sénégal",https://images.coinafrique.com/thumb_5390760_uploaded_image1_1750804520.jpg,Chaussures Homme
Chaussures homme,100 000,"location_onGrand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389229_uploaded_image1_1750732912.jpg,Chaussures Homme
Sandales en cuir,8 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388886_uploaded_image1_1750707753.jpg,Chaussures Homme
Chaussures Zara,30 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355405_uploaded_image1_1748811936.jpg,Chaussures Homme
Chaussures Berluti,25 000,"location_onParcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355402_uploaded_image1_1748811821.jpg,Chaussures Homme
Sandales Hermès pour hommes,25 000,"location_onDakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg,Chaussures Homme
Chaussures  Air force,19 000,"location_onSicap foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5383496_uploaded_image1_1750413096.jpg,Chaussures Homme
Chaussures homme,30 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5337086_uploaded_image1_1747753113.jpg,Chaussures Homme
Chaussures homme,Prix sur demande,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380989_uploaded_image1_1750269170.jpg,Chaussures Homme
Sandales croches,17 000,"location_onDakar, Sénégal",https://images.coinafrique.com/thumb_5380985_uploaded_image1_1750269013.jpg,Chaussures Homme
