web-scraper-order,web-scraper-start-url,V1_type_habits,V2_prix,V3_adresse,V4_image_lien-src,Pagination,Pagination-href
"1751544298-46","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalon homme","6 000CFA","Sénégal","https://images.coinafrique.com/thumb_2157602_uploaded_image1_1590157261.1.jpeg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-47","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","9 000CFA","Sénégal","https://images.coinafrique.com/thumb_2157581_uploaded_image1_1590156951.48.jpeg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-48","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2157232_uploaded_image1_1590151734.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-49","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","9 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2157228_uploaded_image1_1590151679.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-50","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2157117_uploaded_image1_1590149996.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-51","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement mixte","Prix sur demande","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2157102_uploaded_image1_1590149831.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-52","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","4 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155114_uploaded_image1_1590127670.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-53","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155093_uploaded_image1_1590127226.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-54","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155090_uploaded_image1_1590127189.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
"1751544298-55","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","Prix sur demande","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2155088_uploaded_image1_1590127160.jpg","chevron_leftprécédent","https://sn.coinafrique.com/categorie/vetements-homme?page=118"
